scenario,tech,type,carrier,p_nom,e_nom,efficiency_store,efficiency_dispatch,marginal_cost,efficiency
M0,battery,storage_unit,Battery,31500.0,126000.0,0.95,0.95,2,
M0,h2_store,store,H2_tank,28700.0,41328000.0,,,25,
M0,p2g,link,H2_electrolyser,14270.0,,,,12,0.7
M0,g2p_CCG,link,H2_CCG,25830.0,,,,3,0.55
M0,g2p_OCG,link,H2_OCG,2870.0,,,,65,0.4
M1,battery,storage_unit,Battery,28300.0,113200.0,0.95,0.95,2,
M1,h2_store,store,H2_tank,19500.0,28080000.0,,,25,
M1,p2g,link,H2_electrolyser,7550.0,,,,12,0.7
M1,g2p_CCG,link,H2_CCG,17550.0,,,,3,0.55
M1,g2p_OCG,link,H2_OCG,1950.0,,,,65,0.4
M23,battery,storage_unit,Battery,18600.0,74400.0,0.95,0.95,2,
M23,h2_store,store,H2_tank,20400.0,29376000.0,,,25,
M23,p2g,link,H2_electrolyser,6230.0,,,,12,0.7
M23,g2p_CCG,link,H2_CCG,18360.0,,,,3,0.55
M23,g2p_OCG,link,H2_OCG,2040.0,,,,65,0.4
N1,battery,storage_unit,Battery,14600.0,58400.0,0.95,0.95,2,
N1,h2_store,store,H2_tank,11200.0,16128000.0,,,25,
N1,p2g,link,H2_electrolyser,3150.0,,,,12,0.7
N1,g2p_CCG,link,H2_CCG,10080.0,,,,3,0.55
N1,g2p_OCG,link,H2_OCG,1120.0,,,,65,0.4
N2,battery,storage_unit,Battery,7900.0,31600.0,0.95,0.95,2,
N2,h2_store,store,H2_tank,4500.0,6480000.0,,,25,
N2,p2g,link,H2_electrolyser,840.0,,,,12,0.7
N2,g2p_CCG,link,H2_CCG,4050.0,,,,3,0.55
N2,g2p_OCG,link,H2_OCG,450.0,,,,65,0.4
N03,battery,storage_unit,Battery,6400.0,25600.0,0.95,0.95,2,
